feature,importance
diff_run_avg_margin,79.15091705322266
is_away,77.93984985351562
is_home,69.88506317138672
diff_run_recent_avg_margin,29.949382781982422
travel_advantage,17.819368362426758
diff_roster_bpm,13.42927360534668
team_a_ranked,12.97332763671875
diff_run_win_pct,12.655348777770996
diff_top5_bpm,10.596038818359375
team_b_run_games,9.180426597595215
season_progress,9.154244422912598
diff_sos,9.023611068725586
team_a_run_games,8.884051322937012
diff_run_recent_win_pct,8.511835098266602
team_b_ranked,6.88293981552124
team_b_top5_bpm,6.804866313934326
diff_prior_rank,6.660106182098389
tz_advantage,6.360980033874512
team_a_prior_adj_oe,6.3190202713012695
team_a_top5_bpm,6.285914897918701
team_b_prior_adj_de,6.153764247894287
team_b_run_avg_pts_against,6.1330766677856445
team_b_run_avg_pts_for,6.061767578125
team_b_prior_adj_oe,6.0506815910339355
team_a_run_avg_pts_for,6.047400951385498
team_a_roster_obpm,6.040170669555664
team_a_run_avg_pts_against,6.024210453033447
team_a_star_count,6.002514362335205
team_a_roster_dbpm,5.747140407562256
team_b_rank,5.738550662994385
team_b_roster_obpm,5.706542015075684
team_b_roster_bpm,5.682002544403076
team_a_prior_adj_de,5.64839506149292
team_b_roster_dbpm,5.646093845367432
team_b_star_count,5.573892116546631
team_a_prior_adj_tempo,5.55349063873291
team_b_prior_barthag,5.459096431732178
team_a_depth_count,5.4298624992370605
team_a_roster_bpm,5.399266242980957
diff_prior_win_pct,5.3321075439453125
team_b_depth_count,5.2787675857543945
team_a_prior_barthag,5.219504356384277
team_a_rank,5.213449478149414
team_b_prior_adj_tempo,5.2007036209106445
