feature,importance
diff_active_bpm,66.33854675292969
diff_missing_impact,20.752243041992188
diff_roster_bpm,15.353169441223145
home_matched_players,9.188685417175293
neutral_site,8.490352630615234
diff_run_avg_margin,7.870654582977295
away_matched_players,7.04979133605957
diff_top5_bpm,6.533518314361572
away_active_bpm,6.320791244506836
diff_blend_barthag,6.156433582305908
home_active_bpm,6.13979959487915
diff_run_recent_win_pct,5.91746187210083
diff_run_recent_avg_margin,5.807447910308838
diff_prior_rank,5.722867965698242
travel_advantage,5.68135929107666
diff_run_win_pct,5.665283679962158
away_timezone_shift,5.580452919006348
diff_prior_win_pct,5.523402690887451
away_prior_adj_de,5.51428747177124
away_prior_barthag,5.450381278991699
home_run_games,5.331193447113037
away_run_avg_pts_for,5.32351541519165
diff_blend_adj_oe,5.263993263244629
season_progress,5.257678508758545
home_run_avg_pts_against,5.254075527191162
home_roster_bpm,5.224954605102539
away_run_avg_pts_against,5.204850196838379
diff_sos,5.162661552429199
away_roster_dbpm,5.113371849060059
home_top5_bpm,5.108640193939209
away_roster_bpm,5.083587169647217
home_prior_adj_tempo,5.0687255859375
home_star_count,5.0639262199401855
home_run_avg_pts_for,5.059167861938477
home_prior_adj_de,5.018470287322998
away_prior_adj_oe,5.010841369628906
home_depth_count,4.9564642906188965
away_star_count,4.9258246421813965
home_roster_obpm,4.918791770935059
diff_blend_adj_de,4.9182963371276855
home_prior_barthag,4.913516521453857
away_run_games,4.818701267242432
away_top5_bpm,4.728183746337891
away_roster_obpm,4.689145565032959
away_depth_count,4.672822952270508
away_prior_adj_tempo,4.597122669219971
home_prior_adj_oe,4.573944568634033
home_roster_dbpm,4.412604331970215
away_rank,3.854423761367798
home_rank,3.055784225463867
