feature,importance
diff_roster_bpm,85.83255767822266
diff_top5_bpm,45.16038131713867
diff_run_avg_margin,11.55256175994873
neutral_site,9.425902366638184
diff_blend_barthag,9.018728256225586
away_star_count,8.431927680969238
home_roster_bpm,7.559813976287842
away_run_avg_margin,7.5400590896606445
away_run_recent_avg_margin,7.517024517059326
diff_run_recent_avg_margin,7.485569000244141
diff_blend_adj_oe,7.29503870010376
away_blend_adj_tempo,7.252743721008301
diff_run_recent_win_pct,7.215339183807373
away_prior_adj_oe,7.2004241943359375
home_prior_adj_oe,7.188246726989746
home_top5_bpm,7.161584377288818
home_blend_adj_de,7.156469821929932
away_roster_bpm,7.1504082679748535
away_sos,6.853082656860352
diff_run_win_pct,6.8170905113220215
home_roster_obpm,6.8135600090026855
away_top5_bpm,6.807519912719727
diff_prior_win_pct,6.784125804901123
diff_prior_rank,6.716525554656982
home_run_avg_margin,6.57106876373291
home_blend_adj_oe,6.56434440612793
home_run_avg_pts_against,6.488696575164795
diff_sos,6.445973873138428
away_prior_win_pct,6.394515514373779
diff_blend_adj_de,6.315156936645508
away_depth_count,6.31044340133667
away_run_win_pct,6.306392192840576
away_run_recent_win_pct,6.304177761077881
home_prior_adj_de,6.295595645904541
home_roster_dbpm,6.262157440185547
away_prior_rank,6.257454872131348
away_prior_adj_tempo,6.2346510887146
season_progress,6.222695350646973
away_blend_adj_oe,6.195930004119873
home_run_games,6.19304084777832
home_run_recent_avg_margin,6.167966365814209
home_blend_barthag,6.143969535827637
away_roster_obpm,6.100886344909668
home_home_win_pct,5.963131427764893
away_run_avg_pts_against,5.942148208618164
away_away_win_pct,5.921844005584717
away_blend_adj_de,5.898200511932373
away_blend_barthag,5.815770149230957
away_roster_dbpm,5.794413089752197
home_prior_adj_tempo,5.764118671417236
home_run_avg_pts_for,5.720855712890625
home_sos,5.702998161315918
home_blend_adj_tempo,5.6627936363220215
away_run_avg_pts_for,5.592678070068359
away_rank,5.588436603546143
away_run_games,5.525665760040283
home_prior_rank,5.513621807098389
home_run_win_pct,5.404642581939697
home_prior_win_pct,5.370241165161133
diff_blend_adj_tempo,5.114108562469482
away_prior_barthag,4.844547271728516
away_prior_adj_de,4.767171859741211
home_rank,4.740474224090576
home_run_recent_win_pct,4.692878246307373
home_depth_count,4.623586177825928
home_prior_barthag,4.01448392868042
home_star_count,2.8239617347717285
