config,seed,accuracy,auc,brier,log_loss,best_round,fold
F1×H4,25,0.7230824630896651,0.7707666937742839,0.18276046216487885,0.5404430325524475,632,2025
F1×H4,26,0.7216420597767375,0.7697480403451703,0.18294572830200195,0.5411671772756923,491,2025
F1×H4,27,0.7223622614332013,0.7701200641546941,0.182901069521904,0.5408902797405575,537,2025
F1×H4,28,0.7211019085343896,0.7693983238456674,0.1831149458885193,0.5414844064110694,472,2025
F1×H4,29,0.7221822110190853,0.7701277587647962,0.18279889225959778,0.5407635567889651,499,2025
F1×H4,30,0.7205617572920417,0.7695019540074094,0.18311801552772522,0.5414612670566764,498,2025
F1×H4,31,0.7212819589485056,0.7696237970994849,0.1831013411283493,0.5412684836084686,525,2025
F1×H4,32,0.7216420597767375,0.7697144381946326,0.1830146312713623,0.5411452516168933,528,2025
F1×H4,33,0.7221822110190853,0.7697127439685552,0.18308652937412262,0.5413812859966751,538,2025
F1×H4,34,0.7223622614332013,0.7699377936658535,0.18298734724521637,0.5409657837960071,593,2025
F1×H4,35,0.7225423118473172,0.7702208706063071,0.18287645280361176,0.5408774721381998,556,2025
F1×H4,36,0.7214620093626215,0.7698590121532485,0.1829831302165985,0.5410293452635021,535,2025
F1×H4,37,0.7225423118473172,0.7697524876886239,0.18308508396148682,0.5413409923748272,574,2025
F1×H4,38,0.7216420597767375,0.7698856962139695,0.18294861912727356,0.5410464743750505,538,2025
F1×H4,39,0.7216420597767375,0.7703490670461735,0.18286174535751343,0.5407278175853792,548,2025
F1×H4,40,0.7209218581202737,0.7700837088867805,0.18290740251541138,0.5408361478703491,513,2025
F1×H4,41,0.7212819589485056,0.7697411222553537,0.18304799497127533,0.5412883910719777,527,2025
F1×H4,42,0.7225423118473172,0.7700389530812326,0.1830754578113556,0.5412487693941083,578,2025
F1×H4,43,0.7227223622614332,0.7694192898933767,0.18307733535766602,0.5415174560637012,451,2025
F1×H4,44,0.7218221101908534,0.7701076398301256,0.1829601675271988,0.5409995157929475,588,2025
F1×H4,45,0.7203817068779258,0.769737239653926,0.18317098915576935,0.5415153914561833,596,2025
F1×H4,46,0.7220021606049694,0.7698592945242613,0.1830855906009674,0.5412469540274067,617,2025
F1×H4,47,0.7191213539791141,0.7698077618144032,0.18294675648212433,0.5410948368438903,504,2025
F1×H4,48,0.7223622614332013,0.7707988840697569,0.18276339769363403,0.5404555413417925,588,2025
F1×H4,49,0.7205617572920417,0.7696182202719797,0.18308551609516144,0.541367618184113,524,2025
F1×H4,50,0.7229024126755491,0.7699636306135358,0.18303696811199188,0.5410790635018288,548,2025
F1×H4,51,0.7202016564638098,0.7698752484864914,0.1829882711172104,0.5410473457151095,521,2025
F1×H4,52,0.7221822110190853,0.7700371882624018,0.18308191001415253,0.5412280149914573,603,2025
F1×H4,53,0.7220021606049694,0.769182451206289,0.18320223689079285,0.5415285260370523,528,2025
F1×H4,54,0.7223622614332013,0.7697268625192013,0.18302947282791138,0.5413576285148707,537,2025
F1×H4,55,0.7203817068779258,0.7698426346344989,0.18297946453094482,0.5410433252974141,505,2025
F1×H4,56,0.7220021606049694,0.7702212235700732,0.18284142017364502,0.5407226449649297,508,2025
F1×H4,57,0.7211019085343896,0.7699950443887232,0.18308104574680328,0.5411892891543802,618,2025
F1×H4,58,0.7209218581202737,0.7696523165717899,0.18313927948474884,0.5414635366828472,569,2025
