config,seed,accuracy,auc,brier,log_loss
F1×H4,0,0.7192228489569343,0.7737892739559131,0.1818266063928604,0.5365318574626565
F1×H4,1,0.7172531112901782,0.7738019598424346,0.18183082342147827,0.5364535501914305
F1×H4,2,0.7180589130629421,0.774010781019742,0.18172919750213623,0.5362843995253035
F1×H4,3,0.7185065807144776,0.7738603079597273,0.18174733221530914,0.536414834715799
F1×H4,4,0.717969379532635,0.7734194342491372,0.18191689252853394,0.5366177667409583
F1×H4,5,0.7205658519115409,0.7746114377345018,0.18150275945663452,0.5357900523243283
F1×H4,6,0.7182379801235562,0.7738229985760483,0.18178808689117432,0.536335267264663
F1×H4,7,0.7166263765780285,0.7735302660889931,0.18192225694656372,0.5368010687151183
F1×H4,8,0.7177007789417137,0.7739705829431104,0.18179821968078613,0.5364178387501572
F1×H4,9,0.7196705166084699,0.7744714231351172,0.1815616637468338,0.5359172366282148
F1×H4,10,0.7181484465932492,0.7737875511812005,0.18183714151382446,0.5365005368348462
F1×H4,11,0.7183275136538634,0.7738537822979364,0.18183882534503937,0.53640202876825
F1×H4,12,0.7181484465932492,0.7737726726723173,0.18177226185798645,0.5364165467891092
F1×H4,13,0.718864714835706,0.7738167687442588,0.1818469911813736,0.5365790102095052
F1×H4,14,0.7182379801235562,0.7737693141317157,0.18186570703983307,0.5365677611992636
F1×H4,15,0.7173426448204853,0.773970443728992,0.18179936707019806,0.5364445408806282
F1×H4,16,0.7185961142447846,0.7737627884699249,0.18188868463039398,0.5365924052632085
F1×H4,17,0.7182379801235562,0.7739716792542912,0.18172211945056915,0.5363295911963641
F1×H4,18,0.7186856477750918,0.7737540875875369,0.18185074627399445,0.536717192996657
F1×H4,19,0.7177007789417137,0.7740255029127422,0.18170490860939026,0.5362203692469228
F1×H4,20,0.7177007789417137,0.7737895349823849,0.1818534880876541,0.536478814546883
F1×H4,21,0.7184170471841704,0.7733535859712262,0.18198524415493011,0.5368324733856105
F1×H4,22,0.7183275136538634,0.773964405316615,0.18178637325763702,0.5362872004483324
F1×H4,23,0.718864714835706,0.7742020090128613,0.1817999929189682,0.5363436789815678
F1×H4,24,0.7185065807144776,0.7735873612792218,0.1819051206111908,0.5365764018029575
F1×H4,25,0.718864714835706,0.7742953868826472,0.18168103694915771,0.5361658401796349
F1×H4,26,0.7193123824872415,0.7738270357854764,0.18176382780075073,0.5363761143938051
F1×H4,27,0.7190437818963201,0.774097563620678,0.1817113310098648,0.5362324861397835
F1×H4,28,0.7177007789417137,0.7737634671387511,0.18180063366889954,0.5364924467482199
F1×H4,29,0.7184170471841704,0.774089036755938,0.18161636590957642,0.5361327423338248
F1×H4,30,0.7185961142447846,0.773870714215063,0.1817975640296936,0.5364304827765177
F1×H4,31,0.7183275136538634,0.7737011514190897,0.18187490105628967,0.5364747478753442
F1×H4,32,0.7185065807144776,0.7738393562349375,0.18175064027309418,0.5363496374148398
F1×H4,33,0.7190437818963201,0.7740159319421156,0.1817246377468109,0.5363055875268508
F1×H4,34,0.7185065807144776,0.7738619263238515,0.18181458115577698,0.5365025811544699
F1×H4,35,0.7181484465932492,0.7743317391692633,0.1816505789756775,0.5361400094372095
F1×H4,36,0.7178798460023279,0.7740907421288861,0.18168160319328308,0.5361577238505919
F1×H4,37,0.718864714835706,0.7738631792509152,0.18179723620414734,0.5365210756324119
F1×H4,38,0.7183275136538634,0.7740209958556654,0.1817159354686737,0.5362051961051758
