accuracy,auc,brier,log_loss,best_iteration,seed,Michigan vs Arizona_prob,UConn vs Illinois_prob,feature_set,hyper_config,n_features
0.7118432769367765,0.7758248013318407,0.18143229186534882,0.5337384328997434,81,0,0.48728811740875244,0.4249856472015381,F1,H1,44
0.7141585040071238,0.7750360597021809,0.18168088793754578,0.5341028749419926,87,1,0.4752489924430847,0.38224631547927856,F1,H1,44
0.7134461264470169,0.7768473509676467,0.18079212307929993,0.532307999518029,81,2,0.5295752882957458,0.36148601770401,F1,H1,44
0.7157613535173643,0.7758437476059736,0.18123596906661987,0.5334465276453467,72,3,0.5627886056900024,0.41874808073043823,F1,H1,44
0.7129118432769368,0.7753310998696552,0.18146909773349762,0.5335629679014909,74,4,0.530322790145874,0.43284106254577637,F1,H1,44
0.715939447907391,0.7753735230486917,0.18140718340873718,0.5338151890828288,90,5,0.570305347442627,0.43842899799346924,F1,H1,44
0.7141585040071238,0.7758393542670441,0.18135429918766022,0.5335894481695853,81,6,0.5206183195114136,0.4188708961009979,F1,H1,44
0.7145146927871772,0.7762895342154608,0.18106652796268463,0.5334409914412637,94,7,0.5771490335464478,0.4015907347202301,F1,H1,44
0.7161175422974176,0.7760415851496357,0.18110667169094086,0.5329378218738879,89,8,0.5507789850234985,0.4390529990196228,F1,H1,44
0.711487088156723,0.7752502349749868,0.18151038885116577,0.5338639000682629,78,9,0.529282808303833,0.3975439667701721,F1,H1,44
0.7193232413178985,0.7765106427262645,0.18104290962219238,0.5332410066079609,97,10,0.5316631197929382,0.42759984731674194,F1,H1,44
0.715939447907391,0.7755702622576215,0.18127447366714478,0.5332326860139406,96,11,0.5148671865463257,0.42394542694091797,F1,H1,44
0.7195013357079252,0.7759699874542715,0.18115338683128357,0.5331306871128495,99,12,0.4530794024467468,0.39479708671569824,F1,H1,44
0.7173642030276046,0.7758104543343997,0.18135914206504822,0.5339657515055504,92,13,0.5620492696762085,0.4045024514198303,F1,H1,44
0.7157613535173643,0.7763672413977738,0.18103161454200745,0.5329272507519953,69,14,0.5514109134674072,0.42816102504730225,F1,H1,44
0.7155832591273374,0.7754497200207475,0.1814933568239212,0.5333495852513951,89,15,0.5137043595314026,0.3911721706390381,F1,H1,44
0.7170080142475512,0.7763583174280735,0.18115247786045074,0.53315965517431,81,16,0.5559715628623962,0.38057273626327515,F1,H1,44
0.715227070347284,0.7762904266124309,0.18109633028507233,0.5330800327610834,90,17,0.5401424169540405,0.47846317291259766,F1,H1,44
0.7138023152270704,0.7756551086156946,0.18147242069244385,0.5338470305857237,93,18,0.5241047143936157,0.3893020749092102,F1,H1,44
0.715227070347284,0.7757733168912625,0.1812571883201599,0.5334418274298908,87,19,0.4914194643497467,0.4306822717189789,F1,H1,44
0.7162956366874443,0.7773116719757421,0.18079404532909393,0.5321841992692339,296,0,0.5836000442504883,0.43416163325309753,F1,H2,44
0.7141585040071238,0.7771728699239431,0.1808113306760788,0.5321750157898779,276,1,0.5937371253967285,0.4469149708747864,F1,H2,44
0.7145146927871772,0.7773564977620055,0.18073299527168274,0.5320933053204806,263,2,0.5840721130371094,0.4499436318874359,F1,H2,44
0.715939447907391,0.777555227702638,0.18069058656692505,0.5319856846992749,256,3,0.5842121839523315,0.4295194745063782,F1,H2,44
0.7148708815672307,0.7780809868098235,0.1805335134267807,0.5315877797116305,295,4,0.5632600784301758,0.45132991671562195,F1,H2,44
0.7150489759572574,0.7773689226736653,0.18072837591171265,0.5319317070421201,321,5,0.5928245186805725,0.4161156415939331,F1,H2,44
0.7162956366874443,0.7776916957931308,0.18063849210739136,0.5316039296830418,331,6,0.5828033685684204,0.4230058193206787,F1,H2,44
0.7173642030276046,0.7773020615468343,0.18080928921699524,0.5323260931236469,257,7,0.5845277309417725,0.4459143877029419,F1,H2,44
0.7171861086375779,0.7773521730689971,0.1807042956352234,0.5320898037947728,248,8,0.5916908979415894,0.4409923851490021,F1,H2,44
0.7136242208370437,0.7770615262404523,0.18083225190639496,0.5322555090454806,252,9,0.6210454702377319,0.4484568238258362,F1,H2,44
0.7166518254674977,0.7771135598483969,0.18081271648406982,0.5321874587401265,282,10,0.5937145948410034,0.43387216329574585,F1,H2,44
0.716473731077471,0.777576507938077,0.1806872934103012,0.5320217796772712,257,11,0.5895354747772217,0.45359423756599426,F1,H2,44
0.7127337488869101,0.7777030910159788,0.18058688938617706,0.5319416734704944,237,12,0.5946819186210632,0.4484656751155853,F1,H2,44
0.715227070347284,0.777607673186107,0.18071511387825012,0.5316644440042393,316,13,0.5698578357696533,0.43394094705581665,F1,H2,44
0.7162956366874443,0.7780353372725108,0.18045762181282043,0.5313665514251955,321,14,0.5502371788024902,0.43051737546920776,F1,H2,44
0.7150489759572574,0.7774031083422093,0.18075045943260193,0.5320731590027269,261,15,0.5877708196640015,0.4392368495464325,F1,H2,44
0.7145146927871772,0.7773233417822734,0.18084204196929932,0.5321427708518291,299,16,0.5959739089012146,0.45495933294296265,F1,H2,44
0.7141585040071238,0.777703640183345,0.18065683543682098,0.5317442464897736,290,17,0.5901823043823242,0.41695722937583923,F1,H2,44
0.715939447907391,0.7774194460713528,0.1808217167854309,0.532157699478422,317,18,0.5760620832443237,0.4314192831516266,F1,H2,44
0.7161175422974176,0.7778133363647372,0.18065407872200012,0.5317467239212453,317,19,0.5959036350250244,0.44354814291000366,F1,H2,44
0.7150489759572574,0.777155502505988,0.1810481697320938,0.5329100394667768,393,0,0.6007232069969177,0.44765621423721313,F1,H3,44
0.7141585040071238,0.7774024218830016,0.1809115707874298,0.5323882793645005,399,1,0.596564531326294,0.4735064208507538,F1,H3,44
0.7141585040071238,0.7770276151555915,0.18099622428417206,0.5327119386723638,375,2,0.5976749062538147,0.4532880187034607,F1,H3,44
0.7141585040071238,0.7770483462236643,0.18098241090774536,0.5327803325607668,374,3,0.6143449544906616,0.4420677125453949,F1,H3,44
0.7150489759572574,0.7773178501086115,0.18087179958820343,0.5325273026300592,338,4,0.6064608097076416,0.46261513233184814,F1,H3,44
0.716473731077471,0.7776112427739872,0.18086276948451996,0.5322775316667301,443,5,0.5939486026763916,0.43377208709716797,F1,H3,44
0.7155832591273374,0.7774890530350146,0.1807917058467865,0.5322097629346593,370,6,0.586688756942749,0.43530184030532837,F1,H3,44
0.7148708815672307,0.7770258990075721,0.18091048300266266,0.5326030560521922,330,7,0.6087755560874939,0.4565269947052002,F1,H3,44
0.7139804096170971,0.7769562233979895,0.18106548488140106,0.5327746793471991,407,8,0.6084926724433899,0.44626539945602417,F1,H3,44
0.7141585040071238,0.7773788076862563,0.1809144914150238,0.5323191109160043,417,9,0.612035870552063,0.4426652789115906,F1,H3,44
0.7145146927871772,0.7773836129007102,0.18094004690647125,0.5324886584731602,445,10,0.5821460485458374,0.4490172863006592,F1,H3,44
0.714692787177204,0.7775067636825735,0.18093343079090118,0.5323660889190146,510,11,0.6078306436538696,0.4442046284675598,F1,H3,44
0.7143365983971505,0.7775406747674344,0.18087567389011383,0.5322442439098025,461,12,0.5974311232566833,0.4319857954978943,F1,H3,44
0.7148708815672307,0.777625383833666,0.18087825179100037,0.5323637072341463,416,13,0.6069939136505127,0.4699418544769287,F1,H3,44
0.715939447907391,0.7774548673664706,0.1808134913444519,0.5324731437280905,322,14,0.5859082937240601,0.44402599334716797,F1,H3,44
0.7154051647373108,0.7770985950376688,0.18094629049301147,0.5326101397223926,368,15,0.6023721694946289,0.4478071331977844,F1,H3,44
0.7136242208370437,0.7775545412434303,0.18081066012382507,0.5323526267319061,383,16,0.6084065437316895,0.45751887559890747,F1,H3,44
0.7139804096170971,0.7769100933392314,0.18093986809253693,0.532808562127625,322,17,0.6131441593170166,0.4252561330795288,F1,H3,44
0.7139804096170971,0.7776168030935696,0.18080320954322815,0.5322247234453127,368,18,0.611918568611145,0.4410688281059265,F1,H3,44
0.7132680320569902,0.7774208189897681,0.18090327084064484,0.5325401638661352,373,19,0.6171225905418396,0.43122389912605286,F1,H3,44
0.7150489759572574,0.7774943387709139,0.18067719042301178,0.5319383296717991,583,0,0.5948694944381714,0.4408414959907532,F1,H4,44
0.7139804096170971,0.7776395935392655,0.18063393235206604,0.5317429021913154,606,1,0.5840572118759155,0.4543014168739319,F1,H4,44
0.714692787177204,0.7779999846233137,0.1804628223180771,0.5314973931410113,544,2,0.5932202935218811,0.4336901605129242,F1,H4,44
0.7162956366874443,0.7778401769197587,0.18057315051555634,0.5317596967571483,580,3,0.5894982814788818,0.4464426636695862,F1,H4,44
0.715227070347284,0.7773676870470915,0.18072764575481415,0.5318657258809254,640,4,0.5816155672073364,0.44043484330177307,F1,H4,44
0.7166518254674977,0.778182514126644,0.18035641312599182,0.5313705087320119,501,5,0.5803935527801514,0.4259665012359619,F1,H4,44
0.7157613535173643,0.7777143489469853,0.1805960088968277,0.5317665903193557,573,6,0.5947397947311401,0.440897136926651,F1,H4,44
0.7145146927871772,0.7775325745487834,0.18063180148601532,0.5320183643883079,518,7,0.5998311638832092,0.4470518231391907,F1,H4,44
0.7143365983971505,0.7773663827745967,0.18070906400680542,0.5320034417145574,594,8,0.5938746333122253,0.44452208280563354,F1,H4,44
0.7161175422974176,0.777931544640305,0.1804937720298767,0.5316094340660975,524,9,0.6044198274612427,0.44049808382987976,F1,H4,44
0.715227070347284,0.777601975574683,0.18063776195049286,0.531786206450943,571,10,0.5866366624832153,0.4292405843734741,F1,H4,44
0.7143365983971505,0.7776766623364819,0.18070365488529205,0.5318118142625078,670,11,0.5958793759346008,0.4436355233192444,F1,H4,44
0.715939447907391,0.7775297600660319,0.18063730001449585,0.5319307554845035,540,12,0.5850707292556763,0.4360440969467163,F1,H4,44
0.7150489759572574,0.7776812616131736,0.18059465289115906,0.5318348728776054,558,13,0.6030986309051514,0.443362295627594,F1,H4,44
0.716473731077471,0.7778672234125426,0.18049143254756927,0.5315836055832529,547,14,0.5910733938217163,0.4455674886703491,F1,H4,44
0.7155832591273374,0.77783317503584,0.18056614696979523,0.531694385005418,577,15,0.5934037566184998,0.4418046176433563,F1,H4,44
0.7154051647373108,0.7778700378952941,0.18054147064685822,0.5315492033152851,597,16,0.5857429504394531,0.4438864588737488,F1,H4,44
0.7161175422974176,0.7777795625717179,0.18057504296302795,0.5317410162689499,581,17,0.5952399373054504,0.43481072783470154,F1,H4,44
0.7155832591273374,0.7776290220674669,0.1805935800075531,0.5321004809651888,480,18,0.5840740203857422,0.4404052197933197,F1,H4,44
0.7155832591273374,0.7776654730513962,0.18056705594062805,0.531815920073493,517,19,0.5932438373565674,0.4448195695877075,F1,H4,44
0.7148708815672307,0.7774547300746291,0.18079322576522827,0.5324387291539506,695,0,0.621504545211792,0.445556104183197,F1,H5,44
0.7143365983971505,0.7773046014459027,0.18085813522338867,0.5324254838470458,740,1,0.6066057682037354,0.4534076750278473,F1,H5,44
0.7157613535173643,0.777385740924254,0.18081612884998322,0.5323113097357675,801,2,0.6003537774085999,0.4535073935985565,F1,H5,44
0.7154051647373108,0.7774285759788153,0.1807796061038971,0.5323857537732241,721,3,0.6030920147895813,0.4498140215873718,F1,H5,44
0.7134461264470169,0.7771329179980544,0.18092913925647736,0.5325604475010892,767,4,0.6094881296157837,0.44339698553085327,F1,H5,44
0.7145146927871772,0.7776281296704969,0.180726557970047,0.5321941892882275,696,5,0.6052268743515015,0.45425882935523987,F1,H5,44
0.7150489759572574,0.7770428545500027,0.1810416281223297,0.5327346692479572,826,6,0.6062648892402649,0.4525116980075836,F1,H5,44
0.7148708815672307,0.7772209220684828,0.18087169528007507,0.5325229942900231,720,7,0.6183782815933228,0.45904695987701416,F1,H5,44
0.7143365983971505,0.7770136113877543,0.18085908889770508,0.5326458195127276,650,8,0.6144313812255859,0.4470997452735901,F1,H5,44
0.7150489759572574,0.7774384609914062,0.18081332743167877,0.5323503555853557,787,9,0.6097303628921509,0.45168912410736084,F1,H5,44
0.7150489759572574,0.7773394049277337,0.18080031871795654,0.5323815695339588,665,10,0.5970292091369629,0.4585646390914917,F1,H5,44
0.7138023152270704,0.7774554165338368,0.18083526194095612,0.5322406709746526,799,11,0.6131916046142578,0.45009446144104004,F1,H5,44
0.7166518254674977,0.7769805926998632,0.18095174431800842,0.5325404396096408,788,12,0.6055223345756531,0.4624866545200348,F1,H5,44
0.715227070347284,0.7775991610919315,0.18078990280628204,0.5321126092569375,841,13,0.6118135452270508,0.4470304846763611,F1,H5,44
0.7150489759572574,0.7772422023039218,0.1809624582529068,0.5325628078237089,821,14,0.5967519879341125,0.4468574821949005,F1,H5,44
0.7141585040071238,0.7775685450112676,0.18078835308551788,0.5322704437571056,776,15,0.606667160987854,0.44087255001068115,F1,H5,44
